,,,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2023-2024,Annual 2023-2024,Annual 2023-2024,Annual 2024-2025,Annual 2024-2025,Annual 2024-2025
,,CalWORKs Work Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,32,"$64,032",,,,,,,6,8,"$34,250",17,23,"$44,639",10,20,"$47,234",14,25,"$71,028"
,,Federal Work Study (FWS) (Federal share),,,,,,,,,,,,,,,,,,,85,162,"$188,878",111,220,"$260,414",147,254,"$399,239",153,288,"$376,886",165,306,"$409,048",180,350,"$422,417",175,330,"$362,587",186,314,"$489,358",175,310,"$414,824",152,300,"$467,442",72,139,"$215,551",95,176,"$382,123",94,168,"$317,776",127,217,"$445,528",108,189,"$419,398"
,,Learning Aligned Employment Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,"$21,504",,,
Mt San Antonio Total,,,"12,450","36,796","$19,268,196","12,860","38,318","$20,435,918","13,883","44,932","$20,863,376","13,618","44,995","$22,279,848","16,464","53,817","$27,921,348","17,945","59,502","$38,842,301","20,522","70,659","$51,512,878","21,984","78,698","$59,819,815","23,568","84,706","$67,747,174","25,216","91,463","$68,613,744","26,425","98,496","$71,273,109","26,168","100,351","$70,928,034","25,335","98,686","$67,090,407","25,727","104,729","$72,636,190","24,441","90,090","$66,373,907","24,969","108,089","$81,750,175","22,260","98,775","$74,177,754","22,036","108,653","$92,126,012","22,916","100,408","$89,279,869","24,049","101,125","$98,052,408","24,318","105,444","$112,654,240"
,California College Promise Grant Total,,"12,377","25,067","$5,153,860","12,738","26,144","$5,592,994","13,740","32,647","$5,832,040","13,409","31,936","$4,852,746","16,242","38,601","$5,834,061","17,617","39,634","$8,170,169","20,155","45,492","$9,726,872","21,587","48,230","$14,012,161","23,279","53,146","$19,531,370","24,976","58,096","$20,884,207","26,208","62,027","$21,515,235","25,910","61,824","$21,083,939","25,127","59,970","$20,298,489","25,243","59,873","$20,127,921","23,960","55,110","$18,776,349","23,350","50,472","$16,733,328","20,279","43,277","$13,775,988","19,641","42,886","$15,481,093","20,674","46,178","$16,675,483","22,765","50,825","$18,292,452","22,729","50,578","$18,031,402"
,,BOGW - Mehtod A-4 based on Veteran's or National Guard dependent status,52,99,"$23,429",53,102,"$26,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,California College Promise - Method A-1 based on TANF recipient status,133,246,"$48,275",139,237,"$44,840",132,282,"$49,086",139,317,"$46,595",116,191,"$28,340",78,197,"$38,367",72,155,"$29,627",38,92,"$22,542",11,23,"$7,797",42,89,"$31,211",51,111,"$38,272",76,169,"$54,924",84,184,"$58,581",54,123,"$36,754",20,26,"$5,704",4,5,"$1,058",1,1,$184,,,,,,,,,,,,
,,California College Promise - Method A-2 based on SSI recipient status,132,252,"$42,280",125,242,"$39,949",132,282,"$43,450",168,340,"$44,825",108,227,"$29,015",90,187,"$27,743",83,141,"$24,570",79,150,"$31,046",26,46,"$9,867",35,65,"$15,939",52,100,"$27,991",76,127,"$34,270",67,125,"$34,224",52,110,"$28,244",7,7,$621,,,,,,,,,,,,,,,,,,
,,California College Promise - Method A-3 based on general assistance recipient status,13,19,"$3,263",1,2,$442,3,3,$216,12,21,"$2,360",4,9,"$1,100",3,6,$954,9,16,"$3,848",4,7,"$1,405",9,18,"$5,336",58,131,"$51,612",5,10,"$4,393",5,13,"$5,474",10,28,"$9,522",8,17,"$6,095",3,3,$276,,,,,,,,,,,,,,,,,,
,,California College Promise - Method B based on income standards,"6,006","11,505","$2,335,626","5,786","11,391","$2,377,531","5,771","12,935","$2,247,763","4,831","10,862","$1,617,580","5,408","11,931","$1,731,106","4,474","9,390","$1,802,551","4,623","9,713","$1,909,341","3,803","7,780","$2,050,397","16,331","36,072","$13,241,951","16,972","39,219","$14,067,605","17,883","41,896","$14,478,178","17,598","41,653","$14,204,823","16,805","39,677","$13,411,185","16,819","39,295","$13,186,705","15,321","33,750","$11,429,827","14,309","29,669","$9,824,013","11,952","24,428","$7,819,655","11,253","23,517","$8,547,950","11,488","24,381","$8,861,210","12,176","25,665","$9,256,718","7,352","12,127","$3,964,947"
,,California College Promise - Method C based on financial need,"6,044","12,946","$2,700,987","6,635","14,170","$3,103,673","7,658","19,019","$3,467,194","8,219","20,259","$3,119,016","10,573","26,106","$4,021,620","12,903","29,691","$6,264,403","15,302","35,308","$7,723,099","17,608","40,065","$11,867,594","7,496","16,855","$6,212,461","7,873","18,592","$6,717,840","8,156","19,755","$6,908,050","8,084","19,683","$6,718,231","8,078","19,736","$6,702,775","8,225","20,077","$6,775,501","9,623","21,074","$7,242,815","9,946","20,522","$6,805,953","9,157","18,647","$5,888,828","9,029","19,212","$6,869,180","10,121","21,582","$7,721,629","11,723","24,895","$8,929,060","17,909","38,188","$13,962,173"
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,1,2,$650,3,9,"$2,392",,,,,,,,,,,,,,,,,,,1,1,$138,,,,,,,,,,,,,,,,1,1,$207,,,
,,Fee Waiver – Dependent (surviving spouse and children) of deceased or disabled member of CA National Guard,,,,,,,,,,1,1,$240,,,,,,,,,,,,,,,,,,,1,1,$138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,48,126,"$24,331",55,136,"$22,130",56,131,"$21,900",68,161,"$35,501",63,150,"$33,995",56,136,"$39,177",59,132,"$53,958",,,,61,152,"$57,247",71,179,"$66,217",83,220,"$82,202",89,250,"$94,484",111,250,"$97,106",121,276,"$102,304",95,201,"$67,321",81,157,"$63,963",96,215,"$92,644",113,264,"$106,467",116,263,"$104,282"
,,Fee Waiver – Dependent of (children) of Congressional Medal of Honor recipient (CMH) or CMH recipient,,,,,,,,,,,,,2,6,$980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Fee Waiver – Dependent of (surviving spouse and children) of deceased victims of September 11, 2001 terrorist attack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,$966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grants Total,,"4,154","11,208","$13,539,471","4,179","11,265","$13,649,568","4,332","11,318","$13,684,221","4,700","11,916","$15,676,571","5,732","13,711","$19,839,389","7,870","18,022","$28,095,375","10,951","23,138","$39,154,684","12,098","28,047","$42,425,637","12,846","29,303","$44,692,489","12,960","31,755","$45,628,860","13,342","34,762","$47,581,496","13,019","36,633","$47,251,311","11,799","36,926","$44,480,344","12,682","42,961","$50,320,506","10,996","33,391","$45,617,253","16,966","55,934","$62,831,533","17,809","54,189","$58,971,922","18,522","64,390","$74,679,873","14,535","51,974","$69,440,775","14,334","47,929","$75,569,616","14,826","51,768","$89,791,137"
,,Academic Competitiveness Grant,,,,,,,24,28,"$20,175",80,138,"$68,850",166,256,"$131,043",169,308,"$143,009",232,410,"$175,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Basic Needs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,293","1,583","$119,000",385,450,"$199,055",80,81,"$97,343"
,,Bureau of Indian Affairs (BIA) Grant,,,,,,,2,2,"$4,009",1,2,"$5,513",1,2,"$4,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$750,,,,1,1,"$2,250",,,
,,CAFYES Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,74,"$84,000",216,420,"$1,136,161",306,739,"$1,642,116"
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,"$4,500",3,6,"$14,250",44,72,"$162,750",63,103,"$246,750",78,130,"$305,331",56,97,"$231,750"
,,Cal Grant B,"1,187","2,110","$1,436,004","1,208","2,101","$1,441,244","1,144","1,960","$1,353,087","1,074","1,889","$1,301,454","1,091","1,947","$1,345,377","1,030","1,735","$1,207,672","1,381","2,481","$1,716,991","1,508","2,690","$1,853,647","1,894","3,332","$2,165,394","2,262","3,979","$2,569,295","2,521","4,428","$3,202,408","2,738","4,824","$3,507,256","2,898","5,104","$3,753,508","3,144","5,559","$4,060,332","2,820","5,013","$3,679,455","2,924","5,092","$4,581,249","2,852","4,900","$4,462,064","4,217","6,816","$5,973,334","4,222","7,032","$6,561,906","4,522","7,553","$7,199,297","5,666","9,536","$7,976,835"
,,Cal Grant C,74,130,"$30,528",66,107,"$26,136",61,92,"$21,348",72,117,"$27,855",76,124,"$31,752",67,86,"$21,528",74,126,"$32,184",80,129,"$32,076",104,159,"$37,086",166,259,"$60,853",157,238,"$54,950",139,216,"$49,194",136,210,"$49,608",171,261,"$121,988",225,332,"$155,148",193,281,"$207,001",193,283,"$228,897",82,118,"$88,873",37,55,"$38,729",24,36,"$24,633",257,452,"$365,517"
,,CARE Grant,85,136,"$67,601",77,119,"$81,143",108,151,"$70,048",112,178,"$118,944",79,129,"$42,350",98,149,"$122,880",81,115,"$69,137",66,97,"$74,168",63,89,"$83,903",76,109,"$86,434",75,121,"$88,064",75,114,"$152,831",72,124,"$156,306",89,167,"$167,966",90,136,"$163,245",95,161,"$178,615",150,209,"$238,569",86,136,"$166,517",79,166,"$341,118",102,287,"$517,580",103,221,"$477,169"
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,805","12,806","$8,740,200","14,656","14,777","$9,554,515","17,018","24,637","$24,575,193","2,406","3,412","$4,130,993",3,3,"$2,200",,,
,,Chafee Grant,22,29,"$68,715",,,,36,51,"$117,769",35,59,"$136,284",29,45,"$101,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,103,"$255,994",60,89,"$221,250",77,128,"$411,761",98,159,"$381,927",118,170,"$418,614",79,129,"$322,500"
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,"$2,700",641,896,"$576,256",527,528,"$953,950",,,,595,698,"$81,620",146,162,"$98,815"
,,EOPS Grant,1,1,$500,2,2,"$1,041",134,134,"$29,925",45,45,"$18,000",,,,,,,240,240,"$96,033",245,245,"$73,915",,,,617,617,"$102,412",262,262,"$49,617",390,390,"$136,353",643,643,"$133,101","1,234","2,023","$214,623",534,534,"$163,032","1,331","2,128","$839,575","1,320","2,746","$1,005,621","1,309","2,121","$748,386","1,419","2,304","$905,262","1,372","2,179","$1,094,810","1,313","2,171","$1,502,490"
,,Equity Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,97,"$2,425",207,211,"$8,545",102,102,"$9,849",,,,89,89,"$1,380",,,
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,148,"$44,400","2,274","3,530","$1,059,000","2,448","3,780","$1,890,000",,,,,,,,,,,,,,,,,,,,,
,,Golden State Education and Training Grant Program (GSETGP) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,"$107,500",25,25,"$62,500",,,,,,
,,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863,"1,603","$594,913","1,246","2,083","$692,639","1,017","1,767","$548,069","1,496","2,409","$720,277","1,312","2,211","$605,743","1,296","2,276","$674,754"
,,Other grant: institutional source,,,,,,,,,,,,,,,,31,33,"$6,533",38,60,"$8,399",60,66,"$33,000",164,221,"$101,660",123,171,"$62,848",135,189,"$66,302",172,231,"$97,904",130,140,"$147,265",504,669,"$452,378",225,238,"$76,662",248,274,"$74,736",158,172,"$60,025",145,161,"$89,075",188,238,"$211,904",148,171,"$124,849",154,162,"$110,775"
,,Other grant: non-institutional source,,,,,,,,,,,,,,,,,,,132,132,"$66,000",,,,,,,,,,,,,,,,1,1,"$1,500",17,17,"$6,800",,,,,,,6,6,"$21,150",25,25,"$109,739",24,24,"$99,092",33,33,"$107,758",311,317,"$392,886"
,,Pell Grant,"4,085","7,969","$11,369,523","4,099","8,224","$11,618,854","4,247","8,108","$11,521,060","4,622","8,697","$13,501,621","5,678","10,510","$17,713,965","7,817","14,325","$25,907,003","10,906","17,871","$36,312,462","12,036","22,344","$39,609,477","12,753","23,589","$41,825,088","12,783","23,780","$42,320,782","13,106","24,810","$43,413,055","12,715","24,250","$42,294,223","11,424","21,964","$38,398,406","12,168","24,562","$42,518,563","10,514","19,067","$37,273,798","12,451","22,512","$43,095,522","10,553","18,514","$36,963,031","10,448","18,012","$35,178,790","11,161","19,230","$40,178,730","12,305","21,563","$48,741,844","13,532","25,284","$58,992,970"
,,SEOG (Supplemental Educational Opportunity Grant),609,833,"$566,600",474,712,"$481,150",553,792,"$546,800",502,791,"$498,050",507,698,"$469,100",730,"1,386","$686,750","1,167","1,703","$677,828","1,740","2,476","$749,354","1,076","1,913","$479,358","1,588","2,840","$426,236","2,550","4,714","$707,100","3,603","6,460","$969,150","2,898","5,210","$781,650","3,279","5,923","$887,856","2,745","4,870","$1,066,552","4,371","7,725","$1,296,826","3,805","6,196","$1,727,886","4,543","6,256","$1,715,127","5,444","7,505","$1,500,932","3,849","5,324","$1,064,444","3,319","3,793","$758,700"
,,State Emergency Aid (AB540),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,572","3,531","$4,236,500","1,958","1,996","$2,305,328",107,107,"$212,814"
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,086","3,201","$3,039,361","2,058","3,105","$2,957,277","2,057","3,101","$3,197,224","2,420","3,467","$3,840,210","2,759","4,124","$9,621,155","3,050","4,615","$11,636,719","4,141","6,241","$15,933,703"
,Loans Total,,12,16,"$39,470",224,422,"$784,976",219,401,"$908,911",282,504,"$1,231,949",325,640,"$1,498,549",385,806,"$1,601,452",433,819,"$1,652,191",534,"1,068","$2,234,748",505,"1,086","$2,305,782",350,661,"$1,286,084",307,591,"$1,158,194",278,600,"$1,297,012",270,625,"$1,295,200",228,566,"$1,145,937",208,511,"$1,053,231",198,551,"$1,105,586",122,338,"$807,446",166,528,"$1,209,777",274,844,"$1,940,481",346,"1,061","$2,466,790",375,"1,124","$2,710,904"
,,Federal Direct Student Loan - subsidized,9,11,"$27,095",7,14,"$20,293",1,1,"$3,250",1,2,"$3,500",213,292,"$688,963",379,606,"$1,152,357",419,602,"$1,156,259",523,767,"$1,481,748",485,722,"$1,433,877",333,495,"$916,997",300,440,"$836,431",263,404,"$778,155",246,417,"$799,682",203,334,"$689,993",192,314,"$639,283",173,302,"$593,737",102,164,"$356,677",154,263,"$563,577",265,435,"$891,753",326,533,"$1,099,224",340,554,"$1,164,045"
,,Federal Direct Student Loan - unsubsidized,3,3,"$9,375",1,2,"$4,000",,,,1,2,"$4,000",66,99,"$227,145",125,198,"$442,469",145,206,"$458,037",198,285,"$699,311",230,346,"$800,277",110,160,"$344,607",99,147,"$299,603",118,183,"$443,206",111,186,"$419,672",122,208,"$378,413",118,182,"$351,612",131,228,"$448,252",103,169,"$439,541",148,253,"$575,336",242,395,"$966,185",305,501,"$1,247,884",333,545,"$1,406,687"
,,Other loan: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$200,6,6,"$2,400",9,9,"$2,950",4,4,"$1,945",8,9,"$3,559",1,1,$400,,,,,,,13,13,"$8,850",7,7,"$3,175"
,,Perkins Loan,2,2,"$3,000",1,1,"$3,000",5,9,"$13,500",1,1,"$3,000",2,2,"$2,750",1,1,"$1,750",1,1,"$1,750",1,1,"$1,036",3,3,"$5,350",1,1,"$1,500",1,2,"$5,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLUS loan: parent loan for undergraduate student,,,,2,2,"$4,656",5,9,"$37,683",12,15,"$92,900",10,15,"$83,950",1,1,"$4,876",6,10,"$36,145",9,15,"$52,653",9,15,"$66,278",4,5,"$22,980",2,2,"$16,660",9,12,"$75,451",9,16,"$73,446",9,15,"$74,581",7,11,"$60,391",7,12,"$60,038",2,4,"$10,828",6,12,"$70,864",8,14,"$82,543",9,14,"$110,832",10,18,"$136,997"
,,"Stafford Loan, subsidized",,,,211,321,"$596,140",204,270,"$594,794",269,384,"$941,768",97,160,"$358,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Stafford Loan, unsubsidized",,,,52,82,"$156,887",86,112,"$259,684",66,100,"$186,781",42,72,"$136,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scholarship Total,,86,119,"$55,554",84,122,"$63,302",155,188,"$66,086",240,276,"$149,962",304,414,"$278,903",505,732,"$486,075",505,796,"$493,086",546,898,"$613,416",425,646,"$452,287",392,655,"$428,985",386,632,"$434,785",448,751,"$591,009",464,821,"$573,633",491,885,"$563,960",489,844,"$609,130",505,904,"$605,723",596,971,"$622,398",492,767,"$594,351",668,"1,233","$791,290",622,999,"$807,584","1,256","1,641","$1,187,120"
,,Scholarship: institutional source,11,14,"$6,738",13,21,"$11,398",90,92,"$22,634",163,167,"$91,958",192,257,"$159,810",214,345,"$178,592",303,474,"$279,967",353,577,"$346,637",287,437,"$214,220",261,434,"$256,159",258,430,"$233,250",290,490,"$271,150",298,517,"$293,275",335,604,"$326,679",325,566,"$350,505",355,630,"$383,655",470,735,"$384,625",409,636,"$426,073",323,512,"$361,131",344,499,"$433,281",338,495,"$447,173"
,,Scholarship: non-institutional source,76,105,"$48,816",71,101,"$51,904",67,96,"$43,452",78,109,"$58,004",113,157,"$119,093",297,387,"$307,483",215,322,"$213,119",202,321,"$266,779",141,209,"$238,067",135,221,"$172,826",131,202,"$201,535",161,261,"$319,859",172,304,"$280,358",163,281,"$237,281",168,278,"$258,625",161,274,"$222,068",161,236,"$237,773",92,131,"$168,278",251,440,"$271,559",199,282,"$243,803",839,922,"$606,522"
,,Scholarship: Osher Scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,281,"$158,600",125,218,"$130,500",128,224,"$133,425"
,Work Study Total,,235,386,"$479,841",204,365,"$345,078",191,378,"$372,118",185,363,"$368,620",250,451,"$470,446",181,308,"$489,230",186,414,"$486,045",203,455,"$533,853",288,525,"$765,246",168,296,"$385,608",199,484,"$583,399",233,543,"$704,763",145,344,"$442,741",151,444,"$477,866",97,234,"$317,944",107,228,"$474,005",,,,47,82,"$160,918",114,179,"$431,840",200,311,"$915,966",203,333,"$933,677"
,,California State Work Study (SWS),,,,20,32,"$29,473",36,63,"$37,474",33,60,"$35,580",40,40,"$92,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CalWORKs Work Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,"$53,958",13,19,"$49,072",19,31,"$98,219",26,42,"$122,751"
,,Federal Work Study (FWS) (Federal share),235,386,"$479,841",204,333,"$315,605",191,315,"$334,644",185,303,"$333,040",250,411,"$377,881",181,308,"$489,230",186,414,"$486,045",203,455,"$533,853",288,525,"$765,246",168,296,"$385,608",199,484,"$583,399",233,543,"$704,763",145,344,"$442,741",151,444,"$477,866",97,234,"$317,944",107,228,"$474,005",,,,38,61,"$106,960",101,160,"$382,768",181,280,"$817,747",177,291,"$810,926"
Mt. San Jacinto Total,,,"6,918","21,996","$12,856,412","6,843","20,576","$11,436,883","7,344","21,912","$11,582,971","8,180","23,734","$12,870,621","10,824","31,153","$19,190,392","12,034","33,284","$22,262,285","11,991","33,216","$24,041,684","12,358","33,663","$26,667,508","12,344","34,520","$28,168,209","13,162","36,864","$32,151,908","14,231","41,484","$34,481,338","14,566","43,856","$34,298,219","14,273","43,587","$33,991,166","14,656","47,377","$36,703,932","14,661","45,713","$35,895,488","14,541","46,312","$37,320,864","13,101","47,623","$37,582,685","14,132","48,924","$51,866,212","13,417","58,323","$46,125,699","15,275","56,394","$52,650,491","15,456","55,633","$64,074,221"
,California College Promise Grant Total,,"6,604","11,542","$2,522,566","6,515","11,335","$2,549,562","7,068","12,498","$2,470,714","7,872","13,920","$2,372,250","10,459","18,371","$3,184,151","11,852","19,997","$4,869,705","11,902","20,259","$5,015,264","12,214","19,930","$6,958,316","12,256","20,707","$8,944,079","12,893","20,747","$9,395,868","13,919","24,500","$10,533,287","14,277","25,763","$10,957,453","14,001","25,434","$10,734,606","14,324","26,244","$11,005,546","14,282","26,351","$10,950,967","13,874","25,453","$10,489,150","11,855","22,227","$9,393,269","11,056","20,262","$8,349,828","12,287","22,027","$9,547,714","13,929","24,840","$10,723,865","13,070","23,663","$10,202,179"
,,California College Promise - Method A-? (unknown base),373,606,"$131,869",451,749,"$174,616",478,834,"$162,340",476,806,"$141,430",457,764,"$143,910",405,686,"$180,366",436,729,"$186,368",460,757,"$279,054",26,44,"$20,286",16,23,"$10,626",47,62,"$22,310",51,60,"$19,435",56,59,"$16,307",267,491,"$231,380",279,491,"$233,864",343,649,"$314,778",2,5,"$1,886",,,,,,,1,1,$552,1,3,"$1,518"
,,California College Promise - Method A-1 based on TANF recipient status,,,,,,,,,,,,,,,,,,,,,,,,,7,11,"$1,978",8,9,"$2,944",5,6,"$2,438",9,11,"$4,830",9,15,"$8,579",,,,,,,,,,,,,,,,,,,,,,,,
,,California College Promise - Method A-2 based on SSI recipient status,,,,,,,,,,,,,,,,,,,,,,,,,42,72,"$24,725",10,15,"$4,922",10,18,"$5,566",7,11,"$3,542",13,21,"$6,716",1,2,$736,1,1,$138,,,,,,,,,,,,,,,,,,
,,California College Promise - Method A-3 based on general assistance recipient status,,,,,,,,,,,,,,,,,,,,,,,,,20,28,"$10,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,California College Promise - Method B based on income standards,"4,714","7,976","$1,723,245","4,369","7,385","$1,641,616","4,976","8,314","$1,633,145","5,284","8,984","$1,518,890","6,566","10,825","$1,823,891","6,284","10,408","$2,491,371","7,505","12,452","$3,041,935","7,663","12,292","$4,274,164","7,584","12,642","$5,501,876","8,257","13,090","$5,973,169","8,932","15,532","$6,685,180","8,915","15,880","$6,756,756","8,388","15,026","$6,345,424","8,492","15,326","$6,398,715","8,274","15,009","$6,180,445","7,635","13,776","$5,683,024","6,222","11,429","$4,861,855","5,673","10,066","$4,150,442","6,196","10,844","$4,721,118","6,969","12,034","$5,180,681","5,198","9,305","$4,006,600"
,,California College Promise - Method C based on financial need,"1,653","2,960","$667,452","1,824","3,201","$733,330","1,935","3,350","$675,229","2,348","4,130","$711,930","3,958","6,782","$1,216,350","5,453","8,903","$2,197,968","4,063","6,884","$1,703,663","4,149","6,881","$2,405,098","4,321","7,375","$3,125,700","4,388","7,207","$3,194,884","4,717","8,410","$3,581,882","5,062","9,302","$3,920,350","5,262","9,687","$4,054,923","5,429","10,125","$4,214,612","5,581","10,532","$4,368,505","5,818","10,835","$4,393,782","5,356","10,247","$4,252,930","5,152","9,727","$3,969,915","5,828","10,692","$4,579,001","6,697","12,272","$5,279,604","7,613","13,775","$5,904,813"
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,$690,1,1,$276,1,1,$690,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fee Waiver – Dependent (surviving spouse and children) of deceased or disabled member of CA National Guard,,,,,,,,,,,,,,,,,,,174,194,"$83,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,,,,,,,,,,,,,,,,,,,299,535,"$258,658",237,401,"$208,633",265,471,"$235,635",259,498,"$251,850",339,626,"$302,657",151,300,"$160,103",163,318,"$168,015",99,193,"$97,566",291,546,"$276,598",249,469,"$229,471",266,491,"$247,595",280,533,"$263,028",300,580,"$289,248"
,Grants Total,,"2,808","7,648","$6,595,024","2,591","7,001","$5,877,873","2,783","7,488","$6,436,424","2,827","7,307","$7,065,834","3,958","9,448","$10,544,351","5,430","12,280","$16,689,033","6,045","12,059","$18,503,227","6,354","12,767","$19,060,691","6,273","12,919","$18,595,906","7,277","15,372","$22,177,621","7,502","16,175","$23,331,945","7,016","17,039","$22,554,962","6,710","17,302","$22,427,731","6,911","20,043","$24,776,342","6,621","18,393","$23,958,537","7,986","19,880","$25,850,569","8,345","24,552","$27,655,584","10,318","27,947","$42,718,357","10,666","35,303","$35,099,735","9,621","29,938","$39,485,059","10,463","29,539","$50,475,175"
,,Academic Competitiveness Grant,,,,,,,26,40,"$16,925",83,118,"$49,750",112,157,"$71,250",103,152,"$64,985",132,205,"$89,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
